5	header
postResults v2.0.2	--cr f,p --co totalshear geom_load.spectralOut
addCauchy v2.0.2	postProc/geom_load.txt
addStrainTensors v2.0.2	--logarithmic --left postProc/geom_load.txt
addMises v2.0.2	--stress Cauchy --strain ln(V) postProc/geom_load.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	totalshear	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	0.5	0.5	0.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.63683473199e-06	-4.46028149673e-08	-5.54874398392e-08	-4.46028149673e-08	3.68322629708e-06	-6.79897745001e-08	-5.54874398392e-08	-6.79897745001e-08	3.58447645162e-06	0.0	3.63683473199e-06	-4.46028149673e-08	-5.54874398392e-08	-4.46028149673e-08	3.68322629708e-06	-6.79897745001e-08	-5.54874398392e-08	-6.79897745001e-08	3.58447645162e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9077520532e-07
1	nan	nan	1	1	0.5	0.5	0.5	1.00006	-9.6684408131e-23	-1.2204702587e-21	-5.38626337476e-25	0.999979295562	1.11765469739e-21	7.06011577511e-25	2.01302156883e-23	0.999979249382	4221039.43635	-1656.43003649	143.012980193	-1656.2963384	0.884164530073	2034.24899823	143.001435447	2034.24890752	-2.84379091575	7.29861982986e-28	4221214.42522	-1656.36502725	143.007360816	-1656.36500239	0.884129829624	2034.16906694	143.007363764	2034.16907017	-2.84367917531	5.99982000719e-05	0.0	0.0	0.0	-2.070465234e-05	0.0	0.0	0.0	-2.07508332971e-05	5.3817301865e-05	4221217.85755
2	nan	nan	1	1	0.5	0.5	0.5	1.00012	-1.95849550306e-23	5.26398354783e-21	-5.5862080598e-25	0.999958590514	1.49240830846e-21	1.48957133745e-24	7.36061498201e-24	0.999958498281	8443006.71804	-3312.8962838	285.531175992	-3312.3616387	174.382536583	4068.40600062	285.485022282	4068.40561897	174.334969246	7.65101103937e-22	8443706.78143	-3312.63626405	285.508739132	-3312.63628767	174.368849796	4068.08630784	285.508693661	4068.08630145	174.321270114	0.000119992800576	0.0	0.0	0.0	-4.14103433964e-05	0.0	0.0	0.0	-4.15025802201e-05	0.000107632854763	8443537.34031
3	nan	nan	1	1	0.5	0.5	0.5	1.00018	6.35798160672e-23	-7.1078709152e-21	3.89760396052e-26	0.999937880207	2.66065632864e-21	-6.65621899164e-25	3.7429922718e-23	0.99993774186	12665240.1526	-4970.21703716	428.981607197	-4969.01385909	-222.35435652	6103.04170547	428.877733841	6103.04086166	-222.231742075	2.54930949223e-18	12666815.576	-4969.63195914	428.931049512	-4969.63195242	-222.328181678	6102.32243067	428.931081743	6102.32243125	-222.205550923	0.000179983801944	0.0	0.0	0.0	-6.2121722514e-05	0.0	0.0	0.0	-6.22600781183e-05	0.000161449821268	12667045.1989
4	nan	nan	1	1	0.5	0.5	0.5	1.00024	-5.40268493445e-23	3.31358536749e-21	6.10646498223e-24	0.999917171961	3.82887526825e-21	1.84500050691e-23	-1.12509488004e-22	0.999916987491	16888729.4304	-6627.28854589	571.792601624	-6625.14956616	-14.3457810008	8137.25943069	571.607948696	8137.2579339	-14.1222676728	8.06425125259e-16	16891530.615	-6626.24843979	571.702757345	-6626.24842127	-14.3435295319	8135.98084436	571.702756263	8135.98084877	-14.1200486777	0.000239971204607	0.0	0.0	0.0	-8.2831469431e-05	0.0	0.0	0.0	-8.30159547288e-05	0.000215263304143	16891554.653
5	nan	nan	1	1	0.5	0.5	0.5	1.0003	2.24799256158e-22	1.51625437455e-21	1.4050003997e-23	0.999896460906	3.88441592274e-21	7.51571134687e-24	2.15383614342e-22	0.999896230301	21112837.6496	-8284.88098259	714.688700416	-8281.53871718	8.50680240928	10171.6434585	714.400215999	10171.6411115	8.6245469719	7.05696528763e-14	21117215.2071	-8283.25581467	714.548341796	-8283.25581995	8.5051337091	10169.6458366	714.548340476	10169.6458354	8.62285318619	0.000299955008998	0.0	0.0	0.0	-0.000103544454542	0.0	0.0	0.0	-0.000103775083447	0.000269076551607	21117218.8993
6	nan	nan	1	1	0.5	0.5	0.5	1.00036	-3.42804971592e-22	-2.21144151827e-21	1.3419129843e-23	0.999875748011	3.19624850512e-21	3.33327937465e-23	1.36245694175e-22	0.999875471266	25337689.32	-9942.72383344	857.609769536	-9937.91077795	5.23789840585	12206.0341253	857.194381361	12206.0307466	5.14030535355	2.74664861294e-12	25343994.025	-9940.38360436	857.407675734	-9940.38359996	5.23666555634	12203.157801	857.407674596	12203.1578007	5.13909405222	0.000359935215548	0.0	0.0	0.0	-0.000124259708918	0.0	0.0	0.0	-0.000124536488347	0.000322888915663	25344003.5426
7	nan	nan	1	1	0.5	0.5	0.5	1.00042	1.34391000146e-22	-1.04458888069e-20	4.56842603077e-24	0.99985503343	1.54076929372e-22	4.44997320159e-23	4.22101219298e-22	0.999854710547	29563303.457	-11600.8535654	1000.5230602	-11594.3022206	2.12074311509	14240.4512421	999.957711116	14240.4466428	2.11888135403	6.11829949055e-11	29571886.2522	-11597.6682713	1000.24801946	-11597.6682694	2.12016081393	14236.5365854	1000.24801806	14236.5365848	2.11829888	0.000419911824688	0.0	0.0	0.0	-0.000144977078669	0.0	0.0	0.0	-0.000145300008535	0.000376700291666	29571901.287
8	nan	nan	1	1	0.5	0.5	0.5	1.00048	3.39047115919e-23	-3.89429523807e-21	-2.16621457009e-23	0.999834317193	-1.00873706349e-21	3.26736341958e-23	5.9763799257e-23	0.999833948165	33789683.18	-13259.2734299	1143.42969688	-13250.7162494	3.31457371953	16274.8840835	1142.69133487	16274.878076	3.31250413964	9.0601254376e-10	33800895.1779	-13255.113068	1143.07050107	-13255.1130649	3.31353370581	16269.7715085	1143.0704995	16269.7715079	3.31146355306	0.000479884836851	0.0	0.0	0.0	-0.000165696533912	0.0	0.0	0.0	-0.000166065623132	0.000430510662987	33800911.4674
9	nan	nan	1	1	0.5	0.5	0.5	1.00054	8.03334546457e-23	-1.62253157363e-20	2.69238100734e-23	0.999813598649	-2.38555011251e-21	2.61337374778e-23	-2.17393404737e-22	0.99981318354	38016573.7697	-14918.1391545	1286.92069922	-14907.3084495	-4.41676290348	18310.8987153	1285.98583299	18310.89111	-4.48087862739	9.81739194628e-09	38030766.2047	-14912.8736774	1286.46593609	-14912.8736803	-4.41520397152	18304.4281367	1286.46592019	18304.4281338	-4.47929520553	0.000539854252467	0.0	0.0	0.0	-0.000186418725891	0.0	0.0	0.0	-0.000186833912368	0.000484320440385	38030792.7039
10	nan	nan	1	1	0.5	0.5	0.5	1.0006	5.89631142734e-22	3.00406149085e-21	5.90880294511e-23	0.999792873578	-4.08081800385e-21	1.31056428301e-23	3.75320278249e-22	0.999792412779	42242069.8376	-16578.5411763	1434.88346409	-16565.1682632	1.5547998811	20358.0056428	1433.72525373	20357.9962371	1.93740691749	8.29951419165e-08	42259593.6506	-16572.0401601	1434.32013586	-16572.0402018	1.55419019059	20350.0131893	1434.32002414	20350.0131665	1.93664630101	0.000599820071968	0.0	0.0	0.0	-0.00020714787564	0.0	0.0	0.0	-0.000207608770209	0.000538132329052	42259616.4255
11	nan	nan	1	1	0.5	0.5	0.5	1.00062933333	-4.2950707072e-22	-1.14981271696e-20	5.1776841338e-23	0.999782736369	6.48269847111e-21	5.35082458745e-24	-1.49616293296e-22	0.99978225358	44306250.02	-17391.5416824	1511.05105372	-17376.8273491	-2.95373042146	21368.7550258	1509.77179001	21368.7446904	-2.60277939146	1.75715949918e-07	44325529.9741	-17384.3888778	1510.42885828	-17384.3889106	-2.95251560928	21359.9561557	1510.42877025	21359.9561391	-2.6017076623	0.000629135382825	0.0	0.0	0.0	-0.000217287236161	0.0	0.0	0.0	-0.000217770130193	0.000564442779523	44325558.4953
12	nan	nan	1	1	0.5	0.5	0.5	1.00065866667	9.12961827014e-22	1.73513993557e-20	5.6126809696e-23	0.99977258859	-1.15030450168e-21	2.58493941423e-26	5.96474769833e-23	0.999772084657	46366103.5668	-18207.1786929	1596.49500621	-18191.0564291	11.1986235508	22403.2894497	1595.08025827	22403.2781109	11.8995870947	4.04969706252e-07	46387222.5059	-18199.3420343	1595.80704506	-18199.3421332	11.1938034855	22393.6354309	1595.80678908	22393.6353845	11.8944593282	0.000658449844314	0.0	0.0	0.0	-0.000227437271895	0.0	0.0	0.0	-0.000227941319649	0.000590759498401	46387237.9704
13	nan	nan	1	1	0.5	0.5	0.5	1.000688	8.17422466264e-23	-1.14614016428e-20	9.44754966222e-23	0.999762416832	-1.68616308848e-20	-2.38589907933e-23	1.61507014601e-22	0.999761893676	48415808.9031	-19028.6688815	1703.27220783	-19011.0686031	0.0220867067602	23491.920467	1701.69528434	23491.908075	2.20492468281	9.45575416586e-07	48438848.0139	-19020.1149679	1702.50564892	-19020.1151961	0.0220767781739	23481.3479109	1702.50505179	23481.3478118	2.20393235483	0.000687763436498	0.0	0.0	0.0	-0.000237611395352	0.0	0.0	0.0	-0.000238134675812	0.000617091055342	48438875.2677
14	nan	nan	1	1	0.5	0.5	0.5	1.00071733333	-1.11843866105e-22	-1.25238505162e-20	6.68772294075e-23	0.999752193985	-1.03052810275e-20	-4.2690274426e-23	5.62043376836e-22	0.999751655665	50443484.6593	-19862.6380452	1856.21772263	-19843.4820841	-76.4094516643	24696.1465367	1854.42512193	24696.1330439	-69.9214002104	2.15596273471e-06	50468521.528	-19853.3305884	1855.34691638	-19853.3310995	-76.37364687	24684.560849	1855.34553809	24684.5606541	-69.888598028	0.000717076169419	0.0	0.0	0.0	-0.000247836723983	0.0	0.0	0.0	-0.00024837517756	0.000643454821891	50468624.5864
15	nan	nan	1	1	0.5	0.5	0.5	1.00074666667	7.49012044667e-22	1.21211040307e-20	7.59875252555e-23	0.999741869234	1.0866558616e-20	-8.97878705532e-23	1.03772392784e-22	0.999741323581	52426985.6301	-20721.0657376	2102.77765802	-20700.2618598	-387.845370001	26127.2559609	2100.66225849	26127.2413761	-369.575528997	4.7034277077e-06	52454090.7786	-20710.9629898	2101.75128214	-20710.9640519	-387.656272393	26114.5031218	2101.74831678	26114.5027972	-369.395137406	0.000746388053123	0.0	0.0	0.0	-0.000258164087481	0.0	0.0	0.0	-0.000258709881516	0.00066988343253	52454501.1985
16	nan	nan	1	1	0.5	0.5	0.5	1.000776	-2.20366085063e-24	-8.18221858778e-21	4.54125387466e-23	0.99973136054	-4.08481819759e-21	-8.40105309624e-23	-4.61670179381e-23	0.999730820852	54330582.0441	-21622.1964717	2522.03584189	-21599.6286546	-1297.48648832	27948.9903366	2519.39617081	27948.9748298	-1253.68594366	9.66828332732e-06	54359813.8326	-21611.2479548	2520.75743452	-21611.2500242	-1296.82949897	27934.8231331	2520.7516957	27934.8227143	-1253.05045652	0.000775699067672	0.0	0.0	0.0	-0.000268675550043	0.0	0.0	0.0	-0.000269215383209	0.000696429759273	54361123.3678
