5	header
postResults v2.0.2	--cr f,p --co totalshear geom_load.spectralOut
addCauchy v2.0.2	postProc/geom_load.txt
addStrainTensors v2.0.2	--logarithmic --left postProc/geom_load.txt
addMises v2.0.2	--stress Cauchy --strain ln(V) postProc/geom_load.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	totalshear	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))	Mises(Cauchy)
10	nan	nan	1	1	0.5	0.5	0.5	1.0006	2.82016890092e-23	5.30050874175e-21	2.92615141691e-23	0.999791995264	-7.7083935386e-21	1.32704327178e-23	1.42216904222e-22	0.999792930217	42159905.0123	8354.69138011	17125.9442677	8347.94474657	7.64313793414	-7575.0368073	17112.1306893	-7575.04392128	8.6435623142	8.18147826893e-08	42177409.9638	8351.41089601	17119.2357449	8351.4108447	7.64013684274	-7572.06953692	17119.2357105	-7572.06956711	8.64017648426	0.000599820071968	0.0	0.0	0.0	-0.000208026371985	0.0	0.0	0.0	-0.000207091224908	0.00053825285106	42177416.7659
11	nan	nan	1	1	0.5	0.5	0.5	1.00062933333	-6.06013196272e-22	-2.44894833659e-20	2.86669781038e-23	0.999781814853	3.24114163261e-21	2.87574509833e-24	4.76685446204e-22	0.999782796752	44220110.7436	8773.80724753	17959.3645782	8766.37592579	1.46504640051	-7950.06576236	17944.1708616	-7950.07359483	2.70199259133	1.7322693625e-07	44239369.9554	8770.19398559	17951.9861167	8770.19395083	1.46444305965	-7946.79954135	17951.9860973	-7946.79956595	2.70088249926	0.000629135382825	0.0	0.0	0.0	-0.000218208952842	0.0	0.0	0.0	-0.000217226840042	0.000564569137589	44239383.5491
12	nan	nan	1	1	0.5	0.5	0.5	1.00065866667	6.82553252327e-23	1.13270364921e-20	4.7045897339e-23	0.999771623559	8.74099363185e-21	5.48007155816e-24	2.33210002777e-22	0.999772654271	46276066.7083	9209.04814672	18785.7553137	9200.88458354	20.5552228602	-8331.97834233	18769.1217829	-8331.98700282	22.7781295699	3.99297698961e-07	46297162.9481	9205.07918172	18777.6782868	9205.07906421	20.5463638599	-8328.39596771	18777.6782122	-8328.39603834	22.7683360023	0.000658449844314	0.0	0.0	0.0	-0.000228402522871	0.0	0.0	0.0	-0.000227371575958	0.000590891562273	46297157.7074
13	nan	nan	1	1	0.5	0.5	0.5	1.000688	2.7439131882e-23	-7.50460903208e-21	2.86411287096e-23	0.999761407509	9.67718437067e-21	-5.96474769833e-24	-4.21920273539e-22	0.999762491301	48322037.6057	9680.82833948	19595.775568	9671.8640716	22.4238679904	-8728.51944826	19577.6518139	-8728.52907903	28.5727241784	9.32665730024e-07	48345052.0029	9676.47075477	19586.976249	9676.47050238	22.4137744425	-8724.59997967	19586.9760866	-8724.60014821	28.5598938358	0.000687763436498	0.0	0.0	0.0	-0.000238620958716	0.0	0.0	0.0	-0.000237536908657	0.000617228564113	48345043.6865
14	nan	nan	1	1	0.5	0.5	0.5	1.00071733333	-2.31028960147e-22	4.12305332894e-20	2.28508644218e-23	0.999751138639	2.39527433147e-20	-2.61143504322e-23	6.11628977149e-23	0.999752284589	50346296.6807	10231.7689435	20370.1086499	10221.8895909	-22.8118489514	-9150.68946597	20350.4642076	-9150.70035594	-7.19272742067	2.1280403743e-06	50371306.7964	10226.9679933	20360.5739264	10226.9674349	-22.8011451767	-9146.4062638	20360.5735403	-9146.40666474	-7.18936069013	0.000717076169419	0.0	0.0	0.0	-0.000248892332127	0.0	0.0	0.0	-0.00024774609753	0.000643597263069	50371339.7424
15	nan	nan	1	1	0.5	0.5	0.5	1.00074666667	1.16839261523e-23	-3.74563924976e-20	1.81462746879e-23	0.999740764175	3.68069393945e-20	-1.85663273427e-23	-5.29007851122e-23	0.999741990103	52326904.4314	10942.6552334	21070.9709878	10931.6550557	-268.596445598	-9602.74518821	21049.8163835	-9602.75786945	-230.658727833	4.64833972314e-06	52353980.8023	10937.3127485	21060.709425	10937.3116018	-268.465309925	-9598.06865133	21060.7085362	-9598.0695568	-230.546397033	0.000746388053123	0.0	0.0	0.0	-0.000259269432415	0.0	0.0	0.0	-0.00025804318728	0.000670029949346	52354249.0832
16	nan	nan	1	1	0.5	0.5	0.5	1.000776	5.29912579917e-24	6.91393745124e-21	-1.43722631431e-23	0.999730198436	7.0529215656e-21	-7.94674999419e-23	-3.35092158615e-22	0.999731535501	54228231.2589	11946.9459013	21633.6595853	11934.4592095	-1063.67884088	-10046.4426023	21611.0795552	-10046.4579354	-978.680245377	9.5732260254e-06	54257432.2634	11940.8879644	21622.718726	11940.8857181	-1063.13948133	-10041.361783	21622.7167636	-10041.3636788	-978.18529431	0.000775699067672	0.0	0.0	0.0	-0.00026983796699	0.0	0.0	0.0	-0.000268500542044	0.000696579309433	54258472.5805
17	nan	nan	1	1	0.5	0.5	0.5	1.00080533333	2.66326307848e-22	-1.22203010808e-20	-3.47932845155e-23	0.999719328214	-1.34490552625e-20	-4.65418341532e-23	3.59248417441e-22	0.999720823395	56002843.8773	13423.859055	21965.630455	13409.2882664	-2910.68680619	-10339.8371266	21941.8237774	-10339.8560884	-2740.41787246	1.83509138929e-05	56034210.149	13416.8027305	21954.1169365	13416.7985882	-2909.15678785	-10334.4173911	21954.113032	-10334.4208868	-2738.98145333	0.000805009223112	0.0	0.0	0.0	-0.000280711181697	0.0	0.0	0.0	-0.000279215582043	0.000723315585397	56037054.7974
18	nan	nan	1	1	0.5	0.5	0.5	1.00083466667	1.87511505108e-22	1.82496722645e-21	-3.61891517992e-23	0.999708041426	-3.26790464127e-21	-6.68723826461e-23	4.52752138402e-23	0.999709754553	57602690.4082	15550.6293095	21965.7756486	15533.1173164	-6106.12140252	-10208.6236799	21941.0800658	-10208.6466219	-5805.65583971	3.24749755468e-05	57636241.5757	15542.1715867	21953.8664574	15542.1647102	-6102.80038692	-10203.0888673	21953.8598309	-10203.0943126	-5802.50818554	0.000834318529482	0.0	0.0	0.0	-0.000292001202202	0.0	0.0	0.0	-0.000290287576362	0.000750309264799	57642215.7678
19	nan	nan	1	1	0.5	0.5	0.5	1.000864	-1.32762488315e-22	-1.89170777718e-20	-9.09898673808e-23	0.999696267667	-8.59237900257e-21	-2.84343335565e-23	1.11863253151e-23	0.999698263283	58995391.778	18432.9816141	21560.9212435	18411.4657461	-10156.0472172	-9325.65486236	21535.7990492	-9325.68054819	-9696.34434673	5.30006497483e-05	59031127.8889	18422.6280496	21548.8537724	18422.618383	-10150.3426984	-9320.43536969	21548.8442326	-9320.44243547	-9690.91738219	0.000863626966852	0.0	0.0	0.0	-0.000303778469008	0.0	0.0	0.0	-0.000301782248683	0.000777605737894	59041071.1473
